"Farm type";"Regions";"Periods";"Number of farms, total (number)";"Land use/Area/Land use, total (are)";"Land use/Area/Utilised agricultural area (UAA) (are)";"Land use/Area/Other land (are)";"Land use/Number of farms/Land use, total (number)";"Land use/Number of farms/Utilised agricultural area (UAA) (number)";"Land use/Number of farms/Other land (number)";"Arable land/Area/Arable land, total (are)";"Arable land/Area/Potatoes/Potatoes, total (are)";"Arable land/Area/Potatoes/Ware potatoes (are)";"Arable land/Area/Potatoes/Seed potatoes (are)";"Arable land/Area/Potatoes/Starch potatoes (are)";"Arable land/Area/Vegetables, arable (are)";"Arable land/Area/Cereals (are)";"Arable land/Area/Grass seed (are)";"Arable land/Area/Industrial crops (are)";"Arable land/Area/Pulses (are)";"Arable land/Area/Sugar beets (are)";"Arable land/Area/Other arable crops (are)";"Arable land/Area/Fallow land (are)";"Arable land/Number of farms/Arable land, total (number)";"Arable land/Number of farms/Potatoes/Potatoes, total (number)";"Arable land/Number of farms/Potatoes/Ware potatoes (number)";"Arable land/Number of farms/Potatoes/Seed potatoes (number)";"Arable land/Number of farms/Potatoes/Starch potatoes (number)";"Arable land/Number of farms/Vegetables, arable (number)";"Arable land/Number of farms/Cereals (number)";"Arable land/Number of farms/Grass seed (number)";"Arable land/Number of farms/Industrial crops (number)";"Arable land/Number of farms/Pulses (number)";"Arable land/Number of farms/Sugar beets (number)";"Arable land/Number of farms/Other arable crops (number)";"Arable land/Number of farms/Fallow land (number)";"Horticulture, in the open/Area/Horticulture in the open, total (are)";"Horticulture, in the open/Area/Flower bulbs (are)";"Horticulture, in the open/Area/Floricultural crops (are)";"Horticulture, in the open/Area/Nurseries and perennial plants (are)";"Horticulture, in the open/Area/Fruit in the open (are)";"Horticulture, in the open/Area/Vegetables, horticultural (are)";"Horticulture, in the open/Number of farms/Horticulture in the open, total (number)";"Horticulture, in the open/Number of farms/Flower bulbs (number)";"Horticulture, in the open/Number of farms/Floricultural crops (number)";"Horticulture, in the open/Number of farms/Nurseries and perennial plants (number)";"Horticulture, in the open/Number of farms/Fruit in the open (number)";"Horticulture, in the open/Number of farms/Vegetables, horticultural (number)";"Horticulture, under glass/Area/Horticulture under glass, total (m2)";"Horticulture, under glass/Area/Floricultural crops (m2)";"Horticulture, under glass/Area/Nurseries and perennial plants (m2)";"Horticulture, under glass/Area/Fruit under glass (m2)";"Horticulture, under glass/Area/Vegetables, under glass (m2)";"Horticulture, under glass/Number of farms/Horticulture under glass, total (number)";"Horticulture, under glass/Number of farms/Floricultural crops (number)";"Horticulture, under glass/Number of farms/Nurseries and perennial plants (number)";"Horticulture, under glass/Number of farms/Fruit under glass (number)";"Horticulture, under glass/Number of farms/Vegetables, under glass (number)";"Horticulture, other/Area, amount/Bulb forcing/Hyacinths (1000 pcs)";"Horticulture, other/Area, amount/Bulb forcing/Daffodils (1000 kg)";"Horticulture, other/Area, amount/Bulb forcing/Tulips (1000 pcs)";"Horticulture, other/Area, amount/Bulb forcing/Other bulb forcing (1000 kg)";"Horticulture, other/Area, amount/Mushrooms/Mushrooms (m2)";"Horticulture, other/Area, amount/Mushrooms/Substrate use mushrooms (tonnes)";"Horticulture, other/Area, amount/Belgian endive cultivation (are)";"Horticulture, other/Number of farms/Bulb forcing/Bulb forcing, total (number)";"Horticulture, other/Number of farms/Bulb forcing/Hyacinths (number)";"Horticulture, other/Number of farms/Bulb forcing/Daffodils (number)";"Horticulture, other/Number of farms/Bulb forcing/Tulips (number)";"Horticulture, other/Number of farms/Bulb forcing/Other bulb forcing (number)";"Horticulture, other/Number of farms/Mushrooms/Mushrooms, total (number)";"Horticulture, other/Number of farms/Mushrooms/Mushrooms (number)";"Horticulture, other/Number of farms/Mushrooms/Substrate use mushrooms (number)";"Horticulture, other/Number of farms/Belgian endive cultivation (number)";"Grassland and forage plants/Area/Grassland and forage plants, total (are)";"Grassland and forage plants/Area/Grassland/Grassland, total (are)";"Grassland and forage plants/Area/Grassland/Pasture and meadows (are)";"Grassland and forage plants/Area/Grassland/Rough grazing (are)";"Grassland and forage plants/Area/Grassland/Temporary grass (are)";"Grassland and forage plants/Area/Forage plants (are)";"Grassland and forage plants/Number of farms/Grassland and forage plants, total (number)";"Grassland and forage plants/Number of farms/Grassland/Grassland, total (number)";"Grassland and forage plants/Number of farms/Grassland/Pasture and meadows (number)";"Grassland and forage plants/Number of farms/Grassland/Rough grazing (number)";"Grassland and forage plants/Number of farms/Grassland/Temporary grass (number)";"Grassland and forage plants/Number of farms/Forage plants (number)";"Grazing livestock/Number of animals/Cattle/Cattle, total (number)";"Grazing livestock/Number of animals/Cattle/Young animals for milk (number)";"Grazing livestock/Number of animals/Cattle/Calves for fattening (number)";"Grazing livestock/Number of animals/Cattle/Young animals for fattening (number)";"Grazing livestock/Number of animals/Cattle/Dairy cows (>= 2 years) (number)";"Grazing livestock/Number of animals/Cattle/Other cows/Other cows, total (number)";"Grazing livestock/Number of animals/Cattle/Other cows/Cows for fattening (>= 2 years) (number)";"Grazing livestock/Number of animals/Cattle/Other cows/Suckling cows (>= 2 years) (number)";"Grazing livestock/Number of animals/Cattle/Bulls (>= 2 years)/Bulls (>= 2 years), total (number)";"Grazing livestock/Number of animals/Cattle/Bulls (>= 2 years)/Bulls for breeding (>= 2 years) (number)";"Grazing livestock/Number of animals/Cattle/Bulls (>= 2 years)/Bulls for fattening (>= 2 years) (number)";"Grazing livestock/Number of animals/Sheep (number)";"Grazing livestock/Number of animals/Goats/Goats, total (number)";"Grazing livestock/Number of animals/Goats/Goats for milking (number)";"Grazing livestock/Number of animals/Goats/Other goats (number)";"Grazing livestock/Number of animals/Equidae/Equidae, total (number)";"Grazing livestock/Number of animals/Equidae/Horses (number)";"Grazing livestock/Number of animals/Equidae/Ponies (number)";"Grazing livestock/Number of farms/Grazing livestock, total (number)";"Grazing livestock/Number of farms/Cattle/Cattle, total (number)";"Grazing livestock/Number of farms/Cattle/Young animals for milk (number)";"Grazing livestock/Number of farms/Cattle/Calves for fattening (number)";"Grazing livestock/Number of farms/Cattle/Young animals for fattening (number)";"Grazing livestock/Number of farms/Cattle/Dairy cows (>= 2 years) (number)";"Grazing livestock/Number of farms/Cattle/Other cows/Other cows, total (number)";"Grazing livestock/Number of farms/Cattle/Other cows/Cows for fattening (>= 2 years) (number)";"Grazing livestock/Number of farms/Cattle/Other cows/Suckling cows (>= 2 years) (number)";"Grazing livestock/Number of farms/Cattle/Bulls (>= 2 years)/Bulls (>= 2 years), total (number)";"Grazing livestock/Number of farms/Cattle/Bulls (>= 2 years)/Bulls for breeding (>= 2 years) (number)";"Grazing livestock/Number of farms/Cattle/Bulls (>= 2 years)/Bulls for fattening (>= 2 years) (number)";"Grazing livestock/Number of farms/Sheep (number)";"Grazing livestock/Number of farms/Goats/Goats, total (number)";"Grazing livestock/Number of farms/Goats/Goats for milking (number)";"Grazing livestock/Number of farms/Goats/Other goats (number)";"Grazing livestock/Number of farms/Equidae/Equidae, total (number)";"Grazing livestock/Number of farms/Equidae/Horses (number)";"Grazing livestock/Number of farms/Equidae/Ponies (number)";"Housed animals/Number of animals/Pigs/Pigs, total (number)";"Housed animals/Number of animals/Pigs/Piglets (number)";"Housed animals/Number of animals/Pigs/Pigs for breeding (number)";"Housed animals/Number of animals/Pigs/Pigs for fattening (number)";"Housed animals/Number of animals/Chickens/Chickens, total (number)";"Housed animals/Number of animals/Chickens/Laying hens (number)";"Housed animals/Number of animals/Chickens/Parent birds of laying hens (number)";"Housed animals/Number of animals/Chickens/Broilers (number)";"Housed animals/Number of animals/Chickens/Parent birds of broilers (number)";"Housed animals/Number of animals/Turkeys (number)";"Housed animals/Number of animals/Ducks for fattening (number)";"Housed animals/Number of animals/Other poultry (number)";"Housed animals/Number of animals/Rabbits (number)";"Housed animals/Number of animals/Furred animals (number)";"Housed animals/Number of farms/Housed animals, total (number)";"Housed animals/Number of farms/Pigs/Pigs, total (number)";"Housed animals/Number of farms/Pigs/Piglets (number)";"Housed animals/Number of farms/Pigs/Pigs for breeding (number)";"Housed animals/Number of farms/Pigs/Pigs for fattening (number)";"Housed animals/Number of farms/Chickens/Chickens, total (number)";"Housed animals/Number of farms/Chickens/Laying hens (number)";"Housed animals/Number of farms/Chickens/Parent birds of laying hens (number)";"Housed animals/Number of farms/Chickens/Broilers (number)";"Housed animals/Number of farms/Chickens/Parent birds of broilers (number)";"Housed animals/Number of farms/Turkeys (number)";"Housed animals/Number of farms/Ducks for fattening (number)";"Housed animals/Number of farms/Other poultry (number)";"Housed animals/Number of farms/Rabbits (number)";"Housed animals/Number of farms/Furred animals (number)"
"All farm types";"Nederland";"2018";53906;;176837075;;;52444;;51597087;16497330;7634800;4354810;4507720;6053282;16756666;948307;1222319;290920;8519623;472058;836582;18193;9631;6776;2421;1602;5350;11282;1041;1619;562;8028;923;3289;9432919;2755866;336641;1688042;2044280;2608090;9604;1628;1041;2807;2668;2868;89896929;35037504;3765656;1234648;49859121;3184;1595;458;105;1181;90293;2979;2280130;2544;642347;732713;175947;393;48;59;317;36;133;110;133;55;114908100;93302246;68373958;2600848;22327440;21605854;43860;41044;36721;2341;21753;24409;3897119;1032064;994964;170307;1621914;63101;;;14769;;;866107;587855;431228;156627;87569;62847;24722;32361;25393;18856;1580;5705;16963;4421;;;5901;;;8396;2972;595;2834;8405;6410;5151;12406749;5652976;1162321;5591452;96985787;45452910;1479762;41789096;8264019;657391;924347;203379;331718;913118;5919;4135;1815;1782;3401;1638;837;49;535;252;27;50;16;47;144
"All farm types";"Groningen (PV)";"2018";2570;;15828796;;;2528;;8522982;2762190;208484;933702;1620004;256628;3635021;61954;274342;17813;1402406;64670;47958;1368;791;187;283;468;232;1185;58;183;30;891;128;154;113572;35056;1692;27242;6469;43113;176;38;13;46;26;71;533700;338160;400;500;194640;24;13;1;1;13;0;7;21061;0;6755;1343;0;11;0;1;11;0;2;2;2;0;7186905;6285445;4821022;143931;1320492;901460;2124;2017;1754;99;1005;797;196787;64459;17641;5694;105790;2592;;;611;;;69279;9768;6499;3269;3156;2211;945;1511;1164;950;35;212;893;178;;;340;;;499;151;19;143;382;275;236;178548;62035;10348;106165;4685331;1209328;28063;3329941;117999;9500;17000;0;3950;1830;148;65;28;37;47;82;29;1;48;5;1;1;0;1;1
"All farm types";"Friesland (PV)";"2018";4290;;21718364;;;4217;;2149781;923049;153033;750283;19733;133836;696744;30431;10012;7104;298899;19269;30437;619;353;140;272;18;164;402;30;23;18;213;39;104;157716;63887;3307;4307;3780;82435;136;29;15;26;22;60;1363263;52610;6200;1;1304452;31;10;5;1;17;0;0;6900;4;0;0;0;5;0;0;5;1;0;0;0;0;19397234;17751606;15396762;345163;2009681;1645628;4039;4002;3923;278;1595;1579;526918;178360;36455;6112;301603;3161;;;1227;;;153534;23538;16543;6995;8431;6516;1915;3759;3162;2850;57;303;2659;239;;;736;;;1154;409;62;375;1008;808;560;112109;62823;12751;36535;6886629;1392337;103044;4893457;497791;0;0;141071;5200;20199;148;49;20;24;39;94;26;3;50;16;0;0;2;1;3
"All farm types";"Drenthe (PV)";"2018";2802;;14455377;;;2737;;5958663;2888630;444724;142941;2300965;141259;1383572;22006;110079;7301;1252221;88856;64739;1169;767;196;94;682;116;848;16;106;18;722;96;152;326417;208364;37414;42628;16219;21792;221;50;46;95;27;54;1487550;624310;82650;0;780590;46;25;10;0;16;0;0;7500;0;9425;11018;0;1;0;0;1;0;2;2;2;0;8155421;6403906;4012736;250488;2140682;1751515;2420;2256;2021;161;1434;1469;227358;71923;33807;9082;107155;4269;;;1122;;;45650;19508;14135;5373;4881;3342;1539;1797;1401;1075;61;294;998;236;;;369;;;324;137;31;127;532;426;290;226213;105056;20764;100393;7020529;2131026;201985;4563862;123656;27444;37787;19927;0;7195;203;95;43;47;79;106;47;5;51;4;1;2;1;0;2
"All farm types";"Overijssel (PV)";"2018";6827;;19249557;;;6654;;1543728;740293;270563;48247;421483;54391;455770;14646;28898;2994;204763;8160;33813;1131;528;285;74;240;69;620;11;61;8;175;37;174;219856;95221;3265;93847;12740;14783;313;52;28;138;72;66;1313109;293875;162821;5000;851413;56;18;13;1;29;0;0;0;0;25;613;24000;0;0;0;0;0;4;1;4;7;17472842;13852572;10542144;262161;3048267;3620270;6517;6169;5931;309;3201;4603;619797;162370;161114;26635;259468;8180;;;2030;;;65228;81319;58474;22845;9282;6968;2314;5367;4614;3471;279;971;3023;730;;;960;;;740;374;91;348;1039;790;591;1562448;686934;137129;738385;11230759;3557981;246270;5233751;2192757;10121;160115;9930;77050;12741;896;663;247;245;537;221;79;8;73;67;1;5;1;10;4
"All farm types";"Flevoland (PV)";"2018";1676;;8924087;;;1653;;6168627;1886103;975522;899495;11086;1798702;1415843;26817;34765;2375;962405;6985;34632;1310;1004;679;526;20;1112;946;30;48;6;889;51;131;770123;398460;3970;51141;119556;196996;577;297;26;44;85;176;3193280;1407140;34340;0;1751800;63;39;8;0;18;0;0;71450;0;0;0;22877;10;0;0;10;0;0;0;0;7;1953404;1504310;402062;92573;1009675;449094;803;717;429;49;526;369;67192;21125;9373;1207;34867;464;;;156;;;13009;8581;6714;1867;1092;779;313;435;307;268;11;38;251;26;;;63;;;100;52;9;50;93;66;59;49515;10833;4446;34236;2746970;1824803;115907;626453;179807;7780;189292;0;0;23000;95;28;6;7;25;55;27;3;18;9;1;11;0;0;3
"All farm types";"Gelderland (PV)";"2018";9086;;22086318;;;8794;;2222560;585287;335251;152154;97882;116160;1011002;35020;59148;18703;298299;25884;73057;2048;741;490;190;114;170;1187;56;141;45;360;124;403;951968;30680;17182;286183;582706;35217;1355;55;86;415;786;171;4898490;3270616;275594;351057;1001223;302;166;42;28;79;0;0;2250;0;147637;124027;1150;3;0;0;3;0;42;34;42;3;18862805;15000469;11722450;286751;2991268;3862336;7976;7524;7187;367;3680;5139;916525;162633;458018;38873;241389;12777;;;2835;;;115220;139638;104991;34647;16782;11679;5103;6252;5053;3314;673;1320;2862;1016;;;994;;;1378;580;105;570;1594;1150;1057;1902961;838099;184894;879968;17580389;12040931;434360;3673566;1431532;73774;443353;640;61743;163690;1390;958;343;340;816;410;304;17;58;44;3;26;5;13;34
"All farm types";"Utrecht (PV)";"2018";2164;;6069537;;;2121;;108325;10436;8800;465;1171;2667;58281;4093;4403;398;6058;10222;11767;182;23;20;1;2;11;93;4;10;3;13;20;68;212208;1084;1323;19671;186629;3501;300;4;15;45;231;29;855378;190508;49200;20980;594690;47;19;4;6;24;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;1;5740450;5162006;4586471;110830;464705;578444;1953;1927;1898;104;621;816;187664;49149;43112;5684;85519;3399;;;801;;;41333;29068;20775;8293;4566;3084;1482;1786;1512;1202;69;275;1100;224;;;387;;;731;198;47;186;363;283;256;268430;108885;25171;134374;2637940;2056771;0;372405;208764;0;25763;0;50;8783;253;189;56;56;167;71;57;0;6;8;0;2;0;1;2
"All farm types";"Noord-Holland (PV)";"2018";3564;;12202209;;;3502;;2968422;960235;272602;686503;1130;324693;907228;64589;36677;8962;525839;18078;122121;1003;519;281;293;1;316;613;77;58;20;432;55;328;2098423;1328773;106815;30160;81334;551341;1196;590;234;126;117;353;8781299;4608679;251106;9445;3912069;348;248;34;6;79;12480;325;1981034;1066;4812;3824;55200;236;7;7;216;12;2;2;2;11;7047551;6481734;4378018;125460;1978256;565817;2427;2328;2013;106;1158;608;155709;54264;1170;6923;88481;4116;;;755;;;124956;17497;12913;4584;6626;4081;2545;1809;1302;1050;11;270;971;234;;;339;;;1030;223;37;212;502;381;367;22083;11113;2134;8836;1490968;158714;0;1332254;0;0;0;0;0;0;54;33;9;14;28;21;4;0;17;0;0;0;0;0;0
"All farm types";"Zuid-Holland (PV)";"2018";4660;;11968760;;;4599;;3549367;1014864;952601;58176;4087;554946;1238467;86218;40239;37563;518773;4658;53639;992;588;572;75;10;455;695;88;71;45;515;30;285;754353;325177;51024;86090;92800;199262;1034;193;226;322;167;249;43751256;21385930;1313136;90554;20961636;1382;845;142;13;424;75813;2393;163635;1424;50;1;4425;119;40;48;66;22;1;1;1;5;7227527;6645898;5843673;163136;639089;581629;2694;2643;2469;137;823;735;175915;55851;4564;8189;101865;4514;;;932;;;99162;21761;14773;6988;6844;4673;2171;2211;1703;1316;19;390;1229;363;;;417;;;1167;296;40;287;528;401;376;126902;59025;13204;54673;720574;122453;0;598121;0;0;0;0;30800;22394;116;95;30;34;83;17;5;0;13;0;0;0;0;1;5
